2026-03-14 17:04:43 | INFO | app | GET /uploads/69741751_20260314150227.jpeg -> 304
2026-03-14 17:04:43 | INFO | app | GET /static/js/dashboard.js
2026-03-14 17:04:43 | INFO | app | GET /static/js/dashboard.js -> 200
2026-03-14 17:04:53 | INFO | app | GET /login
2026-03-14 17:04:53 | INFO | app | GET /login -> 200
2026-03-14 17:04:53 | INFO | app | GET /static/css/auth.css
2026-03-14 17:04:53 | INFO | app | GET /static/js/auth.js
2026-03-14 17:04:53 | INFO | app | GET /static/css/auth.css -> 200
2026-03-14 17:04:53 | INFO | app | GET /static/js/auth.js -> 200
2026-03-14 17:05:29 | INFO | app | GET /register
2026-03-14 17:05:29 | INFO | app | GET /register -> 200
2026-03-14 17:05:29 | INFO | app | GET /static/css/auth.css
2026-03-14 17:05:29 | INFO | app | GET /static/css/auth.css -> 304
2026-03-14 17:05:29 | INFO | app | GET /static/js/auth.js
2026-03-14 17:05:29 | INFO | app | GET /static/js/auth.js -> 304
2026-03-14 17:09:16 | INFO | app | PUT /ui/users/EMP002
2026-03-14 17:09:16 | INFO | app | PUT /ui/users/EMP002 -> 200
2026-03-14 17:09:32 | INFO | app | GET /static/css/dashboard.css
2026-03-14 17:09:32 | INFO | app | GET /static/css/dashboard.css -> 304
2026-03-14 17:09:32 | INFO | app | GET /.well-known/appspecific/com.chrome.devtools.json
2026-03-14 17:09:32 | INFO | app | GET /.well-known/appspecific/com.chrome.devtools.json -> 404
2026-03-14 17:10:14 | INFO | app | GET /.well-known/appspecific/com.chrome.devtools.json
2026-03-14 17:10:14 | INFO | app | GET /.well-known/appspecific/com.chrome.devtools.json -> 404
2026-03-14 17:12:46 | INFO | app | GET /.well-known/appspecific/com.chrome.devtools.json
2026-03-14 17:12:46 | INFO | app | GET /.well-known/appspecific/com.chrome.devtools.json -> 404
2026-03-14 17:13:13 | INFO | app | GET /.well-known/appspecific/com.chrome.devtools.json
2026-03-14 17:13:13 | INFO | app | GET /.well-known/appspecific/com.chrome.devtools.json -> 404
2026-03-14 17:13:47 | INFO | app | GET /.well-known/appspecific/com.chrome.devtools.json
2026-03-14 17:13:47 | INFO | app | GET /.well-known/appspecific/com.chrome.devtools.json -> 404
2026-03-14 17:14:38 | INFO | app | GET /login
2026-03-14 17:14:38 | INFO | app | GET /login -> 200
2026-03-14 17:14:38 | INFO | app | GET /static/css/auth.css
2026-03-14 17:14:38 | INFO | app | GET /static/js/auth.js
2026-03-14 17:14:38 | INFO | app | GET /static/css/auth.css -> 200
2026-03-14 17:14:38 | INFO | app | GET /static/js/auth.js -> 304
2026-03-14 17:14:55 | INFO | app | GET /register
2026-03-14 17:14:55 | INFO | app | GET /register -> 200
2026-03-14 17:19:48 | INFO | app | GET /dashboard
2026-03-14 17:19:48 | INFO | app | GET /dashboard -> 200
2026-03-14 17:19:48 | INFO | app | GET /static/css/dashboard.css
2026-03-14 17:19:48 | INFO | app | GET /uploads/69741751_20260314150227.jpeg
2026-03-14 17:19:48 | INFO | app | GET /static/css/dashboard.css -> 200
2026-03-14 17:19:48 | INFO | app | GET /static/js/dashboard.js
2026-03-14 17:19:48 | INFO | app | GET /uploads/69741751_20260314150227.jpeg -> 304
